NNO,CNSO-U,CGC-U,MDM-U,MRC-U,PAU-U,BST-U,CHG-U,ANTACL-U,BCE-U,BLD-U,CRL-U,LLG-U,MLF-U,MLY-U,SRS-U,STY-U,VLY-U,CFD-U,LMV-U,LYO-U,VCS-U,BSN-U,CHN-U,DOU-U,LLE-U,MTY-U,NCY-U,SDR-U,STG-U,AVD-U,BRY-U,EVX-U,FVS-U,RNS-U,TRS-U,DRN-U,ITS-U,MSE-U,NMS-U,SZA-U,TLE-U,TLN-U,,,OPEX,DAPSA,PFL,CNSO-C,CGC-C,MDM-C,MRC-C,PAU-C,BST-C,CHG-C,ANTACL-C,BCE-C,BLD-C,CRL-C,LLG-C,MLF-C,MLY-C,SRS-C,STY-C,VLY-C,CFD-C,LMV-C,LYO-C,VCS-C,BSN-C,CHN-C,DOU-C,LLE-C,MTY-C,NCY-C,SDR-C,STG-C,AVD-C,BRY-C,EVX-C,FVS-C,RNS-C,TRS-C,DRN-C,ITS-C,MSE-C,NMS-C,SZA-C,TLE-C,TLN-C
1190-25-1494424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240-14-5965372,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430-01-4723705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430-01-5769506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430-01-6803710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550-14-6058579,1,,,1,,,,,3,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550-20-0116069,1,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550-20-0138473,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2590-01-7000039,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2920-14-4633379,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2930-14-5303088,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2990-14-4784891,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010-01-4692709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010-01-6809762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010-14-3717124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
