magasin;nomenclature;quantite_exploitation;quantite_stock;deficit;type_deficit;deficit_abs;ratio_exp_stock
BST;5820-99-7095188;1074.0;6.0;-1068.0;MANQUE;1068.0;178.97
BST;7025-01-6471720;976.0;5.0;-971.0;MANQUE;971.0;195.161
CNSO;9020-DI-1012016;100.0;895.0;795.0;SURPLUS;795.0;0.112
BST;7025-14-6035972;753.0;3.0;-750.0;MANQUE;750.0;250.916
BST;5820-14-5875891;797.0;145.0;-652.0;MANQUE;652.0;5.497
CNSO;5895-01-6589391;51.0;683.0;632.0;SURPLUS;632.0;0.075
MRC;5998-14-5649218;540.0;4.0;-536.0;MANQUE;536.0;134.966
CNSO;5805-14-5407613;22.0;505.0;483.0;SURPLUS;483.0;0.044
BST;5805-14-5395176;475.0;3.0;-472.0;MANQUE;472.0;158.281
CNSO;5998-14-5594755;8.0;469.0;461.0;SURPLUS;461.0;0.017
CGC;5998-14-5649218;451.0;4.0;-447.0;MANQUE;447.0;112.722
CNSO;5998-14-5216512;1.0;419.0;418.0;SURPLUS;418.0;0.002
CNSO;5965-14-5596464;63.0;479.0;416.0;SURPLUS;416.0;0.132
CNSO;5998-01-6108944;61.0;461.0;400.0;SURPLUS;400.0;0.132
MRC;5820-14-5699765;393.0;2.0;-391.0;MANQUE;391.0;196.402
BST;7025-01-6471719;394.0;4.0;-390.0;MANQUE;390.0;98.475
BST;5998-14-5649218;391.0;2.0;-389.0;MANQUE;389.0;195.402
CNSO;7010-14-6035962;5.0;375.0;370.0;SURPLUS;370.0;0.013
CNSO;5998-14-4746028;1.0;356.0;355.0;SURPLUS;355.0;0.003
MRC;5805-14-5407613;352.0;1.0;-351.0;MANQUE;351.0;351.648
CNSO;5998-14-5649218;20.0;366.0;346.0;SURPLUS;346.0;0.055
BST;5895-01-6312265;344.0;4.0;-340.0;MANQUE;340.0;85.979
CNSO;5998-01-5905251;1.0;339.0;338.0;SURPLUS;338.0;0.003
CNSO;5810-14-5839386;4.0;331.0;327.0;SURPLUS;327.0;0.012
CNSO;5895-14-4839707;2.0;313.0;311.0;SURPLUS;311.0;0.006
BST;7025-01-6145572;319.0;9.0;-310.0;MANQUE;310.0;35.441
