nomenclature;nb_deficits;deficit_total;deficit_moyen;deficit_min;deficit_max;total_exploitation;moy_exploitation;total_stock;moy_stock;nb_magasins;nb_manques;nb_surplus;manques_total;surplus_total
5998-14-5649218;9;-1794.0;-199.33;-536.0;346.0;2196.0;244.0;402.0;44.67;9;8.0;1.0;2140.0;346.0
7025-01-6471720;7;-1680.0;-240.0;-971.0;-60.0;1730.0;247.14;50.0;7.14;7;7.0;;1680.0;
5820-99-7095188;1;-1068.0;-1068.0;-1068.0;-1068.0;1074.0;1074.0;6.0;6.0;1;1.0;;1068.0;
9020-DI-1012016;1;795.0;795.0;795.0;795.0;100.0;100.0;895.0;895.0;1;;1.0;;795.0
7025-14-6035972;1;-750.0;-750.0;-750.0;-750.0;753.0;753.0;3.0;3.0;1;1.0;;750.0;
5820-14-5875891;2;-712.0;-356.0;-652.0;-60.0;858.0;429.0;146.0;73.0;2;2.0;;712.0;
5895-01-6312265;3;-648.0;-216.0;-340.0;-68.0;709.0;236.33;61.0;20.33;3;3.0;;648.0;
5895-01-6589391;7;482.0;68.86;-64.0;632.0;277.0;39.57;759.0;108.43;7;5.0;1.0;150.0;632.0
5998-14-5709364;6;-474.0;-79.0;-266.0;216.0;712.0;118.67;238.0;39.67;6;5.0;1.0;690.0;216.0
7025-01-6471719;4;-469.0;-117.25;-390.0;14.0;526.0;131.5;57.0;14.25;4;3.0;1.0;483.0;14.0
5998-14-5594755;3;439.0;146.33;-17.0;461.0;39.0;13.0;478.0;159.33;3;2.0;1.0;22.0;461.0
5998-01-6108944;1;400.0;400.0;400.0;400.0;61.0;61.0;461.0;461.0;1;;1.0;;400.0
5805-14-5395176;3;-393.0;-131.0;-472.0;210.0;613.0;204.33;220.0;73.33;3;2.0;1.0;603.0;210.0
7010-14-6035962;2;383.0;191.5;13.0;370.0;12.0;6.0;395.0;197.5;2;;2.0;;383.0
5820-14-5699765;3;-378.0;-126.0;-391.0;34.0;479.0;159.67;101.0;33.67;3;2.0;1.0;412.0;34.0
5998-01-5905251;2;348.0;174.0;10.0;338.0;3.0;1.5;351.0;175.5;2;;2.0;;348.0
