magasin,nb_items,deficit_total,deficit_moyen,total_exploitation,total_stock,ratio_exp_stock
TLN,1719,26317.0,15.31,26317.0,0.0,26317.0
BST,1648,23644.0,14.35,26783.0,3139.0,8.53
LLG,737,15922.0,21.6,15922.0,0.0,15922.0
RNS,1542,13774.0,8.93,13774.0,0.0,13774.0
TRS,973,11525.0,11.84,11525.0,0.0,11525.0
MRC,1336,10913.0,8.17,11566.0,653.0,17.685
TLE,1060,9624.0,9.08,9624.0,0.0,9624.0
CRL,737,8125.0,11.02,8125.0,0.0,8125.0
CGC,607,7912.0,13.03,8165.0,253.0,32.146
LMV,748,7501.0,10.03,7501.0,0.0,7501.0
ITS,838,7299.0,8.71,7299.0,0.0,7299.0
BSN,701,6931.0,9.89,6931.0,0.0,6931.0
VLY,555,6833.0,12.31,6833.0,0.0,6833.0
LLE,515,6094.0,11.83,6094.0,0.0,6094.0
STG,626,5961.0,9.52,5961.0,0.0,5961.0
SRS,562,5462.0,9.72,5462.0,0.0,5462.0
NCY,677,5283.0,7.8,5283.0,0.0,5283.0
MSE,400,5184.0,12.96,5184.0,0.0,5184.0
LYO,362,4974.0,13.74,4974.0,0.0,4974.0
CHN,289,4616.0,15.97,4616.0,0.0,4616.0
DRN,483,4564.0,9.45,4564.0,0.0,4564.0
MLF,498,4515.0,9.07,4515.0,0.0,4515.0
MTY,363,4163.0,11.47,4163.0,0.0,4163.0
MDM,561,3820.0,6.81,4383.0,563.0,7.771
AVD,501,3812.0,7.61,3812.0,0.0,3812.0
BRY,455,3547.0,7.8,3547.0,0.0,3547.0
STY,319,3501.0,10.97,3501.0,0.0,3501.0
NMS,367,3096.0,8.44,3096.0,0.0,3096.0
BCE,332,2831.0,8.53,3106.0,275.0,11.254
PAU,338,2673.0,7.91,3064.0,391.0,7.816
EVX,438,2649.0,6.05,2649.0,0.0,2649.0
SZA,471,2584.0,5.49,2584.0,0.0,2584.0
CHG,566,2540.0,4.49,3923.0,1383.0,2.835
SDR,341,2356.0,6.91,2356.0,0.0,2356.0
ANTACL,212,2263.0,10.67,2604.0,341.0,7.614
MLY,254,2112.0,8.31,2112.0,0.0,2112.0
CFD,266,1984.0,7.46,1984.0,0.0,1984.0
VCS,228,1919.0,8.42,1919.0,0.0,1919.0
BLD,327,1793.0,5.48,2031.0,238.0,8.498
FVS,438,1602.0,3.66,1602.0,0.0,1602.0
DOU,284,1372.0,4.83,1372.0,0.0,1372.0
CNSO,2392,-55136.0,-23.05,4417.0,59553.0,0.074
