nomenclature,deficit_total,deficit_moyen,nb_magasins,total_exploitation,total_stock
5998-14-5649218,-9234.0,-236.77,39,9636.0,402.0
5805-14-5407613,-6755.0,-173.21,39,7262.0,507.0
5820-14-5699765,-5561.0,-168.52,33,5662.0,101.0
5965-14-5596464,-5400.0,-163.64,33,5917.0,517.0
5805-14-5395176,-5344.0,-148.44,36,5564.0,220.0
7025-01-6471720,-3873.0,-96.82,40,3923.0,50.0
5998-14-5709364,-3475.0,-91.45,38,3720.0,245.0
5805-14-6083025,-2916.0,-324.0,9,2916.0,0.0
5820-14-5875891,-2394.0,-108.82,22,2540.0,146.0
5805-14-5395175,-2372.0,-65.89,36,2460.0,88.0
5805-14-5649505,-2357.0,-67.34,35,2457.0,100.0
7025-01-6471719,-2313.0,-60.87,38,2371.0,58.0
5820-99-7095188,-2175.0,-271.88,8,2196.0,21.0
5805-14-5407612,-2025.0,-54.73,37,2129.0,104.0
5805-14-5899554,-1905.0,-59.53,32,1910.0,5.0
6130-14-4535527,-1627.0,-116.21,14,1925.0,298.0
7025-01-6295560,-1586.0,-44.06,36,1670.0,84.0
5895-01-6312265,-1370.0,-44.19,31,1673.0,303.0
5998-14-4636517,-1365.0,-97.5,14,1519.0,154.0
5820-99-9251541,-1355.0,-79.71,17,1362.0,7.0
7025-14-6091934,1349.0,674.5,2,3.0,1352.0
7025-14-6111661,1321.0,660.5,2,4.0,1325.0
7025-01-6145572,-1305.0,-45.0,29,1421.0,116.0
5805-14-5795343,-1236.0,-72.71,17,1242.0,6.0
5805-14-5427833,-1208.0,-37.75,32,1217.0,9.0
5998-14-4535515,-1174.0,-97.83,12,1737.0,563.0
5805-14-4803017,1148.0,164.0,7,78.0,1226.0
7050-14-5822576,-1120.0,-35.0,32,1349.0,229.0
5805-14-5694774,-1083.0,-57.0,19,1102.0,19.0
6030-01-5849988,-1075.0,-33.59,32,2378.0,1303.0
7050-20-0042340,-1056.0,-27.08,39,1329.0,273.0
5810-14-5860296,-1055.0,-27.05,39,1234.0,179.0
5998-14-4536854,-1030.0,-73.57,14,1193.0,163.0
5895-01-6548907,-1017.0,-35.07,29,1101.0,84.0
5998-14-5649230,-942.0,-24.79,38,1040.0,98.0
5895-01-6412003,-936.0,-34.67,27,963.0,27.0
7025-14-5812058,-927.0,-23.77,39,983.0,56.0
7025-14-6035972,-913.0,-228.25,4,1127.0,214.0
6130-14-5648974,-877.0,-22.49,39,930.0,53.0
7025-01-6305849,-811.0,-27.03,30,838.0,27.0
5998-01-5997564,-799.0,-199.75,4,834.0,35.0
7025-01-6618147,-773.0,-70.27,11,775.0,2.0
5998-14-5115514,-772.0,-36.76,21,1053.0,281.0
5998-14-5812746,-760.0,-28.15,27,771.0,11.0
5895-01-6692703,-759.0,-19.46,39,768.0,9.0
7025-01-5455184,-758.0,-29.15,26,1058.0,300.0
5805-14-5882927,-754.0,-377.0,2,755.0,1.0
5820-14-5704107,-751.0,-68.27,11,753.0,2.0
5895-14-5892200,-735.0,-61.25,12,867.0,132.0
5995-14-5854302,713.0,237.67,3,26.0,739.0
7010-01-6902880,-712.0,-101.71,7,730.0,18.0
9080-DI-0042019,-681.0,-61.91,11,742.0,61.0
5998-01-5292775,-676.0,-56.33,12,888.0,212.0
5805-14-4936630,-672.0,-28.0,24,681.0,9.0
9020-DI-1012016,669.0,66.9,10,226.0,895.0
5810-14-6035259,-664.0,-60.36,11,1257.0,593.0
7025-15-0162514,-662.0,-55.17,12,698.0,36.0
5998-14-5649251,-660.0,-18.86,35,785.0,125.0
7021-14-6062929,-655.0,-218.33,3,797.0,142.0
5975-14-5882845,-649.0,-19.67,33,727.0,78.0
7021-01-7170469,644.0,214.67,3,127.0,771.0
5998-01-6553094,-642.0,-160.5,4,644.0,2.0
7490-01-6289942,-630.0,-15.75,40,681.0,51.0
5998-14-5649253,-626.0,-16.92,37,705.0,79.0
6130-14-5650944,-623.0,-15.58,40,638.0,15.0
7025-01-5388114,-623.0,-23.96,26,722.0,99.0
5998-14-5149581,-610.0,-30.5,20,824.0,214.0
5895-01-5555276,-608.0,-27.64,22,829.0,221.0
5805-14-6111753,586.0,195.33,3,9.0,595.0
5895-01-4758630,-579.0,-17.55,33,686.0,107.0
7025-01-5898541,-577.0,-33.94,17,601.0,24.0
5805-14-5649508,-571.0,-38.07,15,574.0,3.0
5805-14-5797655,-571.0,-47.58,12,574.0,3.0
9080-DI-0392021,-568.0,-14.56,39,579.0,11.0
7025-01-6519677,-554.0,-16.79,33,571.0,17.0
5805-14-5135582,-551.0,-17.77,31,559.0,8.0
5805-14-5883097,-539.0,-25.67,21,584.0,45.0
7025-01-6720552,-526.0,-15.03,35,594.0,68.0
5895-20-0078044,-515.0,-19.07,27,524.0,9.0
5895-01-6590453,-513.0,-13.5,38,573.0,60.0
7025-01-7006887,-512.0,-15.52,33,638.0,126.0
5998-20-0085537,-510.0,-18.89,27,522.0,12.0
7035-12-4012369,-507.0,-16.9,30,584.0,77.0
7025-14-5849743,-505.0,-14.43,35,544.0,39.0
7025-14-6034814,-503.0,-13.24,38,512.0,9.0
5805-14-5652557,-484.0,-484.0,1,484.0,0.0
5895-14-5606807,-482.0,-24.1,20,522.0,40.0
5998-01-5108959,-480.0,-30.0,16,500.0,20.0
9080-DI-0012019,479.0,239.5,2,22.0,501.0
5998-14-5648968,-470.0,-15.67,30,515.0,45.0
7025-14-5947967,-470.0,-15.16,31,509.0,39.0
5820-14-5704786,-470.0,-18.8,25,522.0,52.0
5810-14-5872748,-464.0,-12.21,38,476.0,12.0
5998-14-5729634,-460.0,-13.14,35,530.0,70.0
5895-14-5818581,-458.0,-35.23,13,503.0,45.0
7025-01-6659124,-452.0,-12.91,35,477.0,25.0
5805-01-6721744,-451.0,-15.55,29,519.0,68.0
6130-14-5875950,-430.0,-20.48,21,458.0,28.0
5998-20-0085539,-428.0,-23.78,18,445.0,17.0
7025-15-0137638,-421.0,-32.38,13,441.0,20.0
7050-01-6861556,-419.0,-19.05,22,485.0,66.0
5810-14-5872750,-409.0,-11.05,37,417.0,8.0
5998-20-0085538,-408.0,-18.55,22,413.0,5.0
7025-01-6336396,-405.0,-12.27,33,430.0,25.0
7025-17-1260324,-400.0,-40.0,10,400.0,0.0
7025-01-6963056,-400.0,-14.29,28,471.0,71.0
