magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
LLG,5965-14-5596464,1259.0,0.0,-1259.0
LLG,5805-14-6083025,1130.0,0.0,-1130.0
BST,5820-99-7095188,1074.0,6.0,-1068.0
LLG,5820-14-5875891,1044.0,0.0,-1044.0
LLG,5810-14-6035259,1037.0,0.0,-1037.0
LLG,5820-14-5699765,1018.0,0.0,-1018.0
BST,7025-01-6471720,976.0,5.0,-971.0
TLN,5805-14-5795343,933.0,0.0,-933.0
TLN,5998-14-5649218,909.0,0.0,-909.0
TLN,5820-99-7095188,877.0,0.0,-877.0
CRL,5998-01-5997564,793.0,0.0,-793.0
BST,5805-14-5882927,755.0,0.0,-755.0
BST,7025-14-6035972,753.0,3.0,-750.0
CRL,7025-01-6618147,710.0,0.0,-710.0
TLN,7010-01-6902880,681.0,0.0,-681.0
BST,5820-99-9251541,654.0,0.0,-654.0
BST,5820-14-5875891,797.0,145.0,-652.0
BST,5998-01-6553094,640.0,0.0,-640.0
BST,7021-14-6062929,608.0,0.0,-608.0
LLG,5998-14-4535515,603.0,0.0,-603.0
LLG,9080-DI-0042019,586.0,0.0,-586.0
STY,5805-14-5407613,577.0,0.0,-577.0
MSE,5965-14-5596464,562.0,0.0,-562.0
TRS,5998-14-5649218,546.0,0.0,-546.0
LLG,6130-14-4535527,544.0,0.0,-544.0
MRC,5998-14-5649218,540.0,4.0,-536.0
RNS,5805-14-5407613,531.0,0.0,-531.0
STG,5805-14-5407613,529.0,0.0,-529.0
BSN,5805-14-5395176,514.0,0.0,-514.0
BST,5805-14-5652557,484.0,0.0,-484.0
CRL,7050-14-5822576,477.0,0.0,-477.0
TLE,5998-14-5649218,475.0,0.0,-475.0
TLN,5895-14-5892200,474.0,0.0,-474.0
BST,5805-14-5395176,475.0,3.0,-472.0
TLN,5820-99-9251541,464.0,0.0,-464.0
MSE,5820-14-5699765,460.0,0.0,-460.0
RNS,5998-14-5649218,458.0,0.0,-458.0
STG,5805-14-5395176,450.0,0.0,-450.0
TLN,5998-14-5709364,450.0,0.0,-450.0
CGC,5998-14-5649218,451.0,4.0,-447.0
CRL,7025-01-6145572,442.0,0.0,-442.0
LLG,5998-14-4536854,431.0,0.0,-431.0
BST,5805-14-4936630,428.0,0.0,-428.0
LLG,5998-14-4636517,424.0,0.0,-424.0
LYO,5805-14-5407613,419.0,0.0,-419.0
BST,6030-01-5849988,418.0,0.0,-418.0
LLE,5805-14-5407613,415.0,0.0,-415.0
