nomenclature,deficit_total,nb_magasins,deficit_moyen,total_exploitation,total_stock
5998-14-5649218,-1794.0,9,-199.33,2196.0,402.0
7025-01-6471720,-1680.0,7,-240.0,1730.0,50.0
5820-99-7095188,-1068.0,1,-1068.0,1074.0,6.0
9020-DI-1012016,795.0,1,795.0,100.0,895.0
7025-14-6035972,-750.0,1,-750.0,753.0,3.0
5820-14-5875891,-712.0,2,-356.0,858.0,146.0
5895-01-6312265,-648.0,3,-216.0,709.0,61.0
5895-01-6589391,482.0,7,68.86,277.0,759.0
5998-14-5709364,-474.0,6,-79.0,712.0,238.0
7025-01-6471719,-469.0,4,-117.25,526.0,57.0
5998-14-5594755,439.0,3,146.33,39.0,478.0
5998-01-6108944,400.0,1,400.0,61.0,461.0
5805-14-5395176,-393.0,3,-131.0,613.0,220.0
7010-14-6035962,383.0,2,191.5,12.0,395.0
5820-14-5699765,-378.0,3,-126.0,479.0,101.0
5998-01-5905251,348.0,2,174.0,3.0,351.0
5810-14-5839386,327.0,1,327.0,4.0,331.0
5895-14-4839707,311.0,1,311.0,2.0,313.0
5998-14-5216512,307.0,3,102.33,115.0,422.0
6130-14-5977753,280.0,1,280.0,2.0,282.0
5998-14-4746028,280.0,4,70.0,86.0,366.0
5805-14-5649508,-277.0,3,-92.33,280.0,3.0
5998-14-4634094,254.0,1,254.0,1.0,255.0
5805-14-5694774,-244.0,2,-122.0,263.0,19.0
7025-01-6145572,-241.0,4,-60.25,357.0,116.0
5895-14-5223317,239.0,1,239.0,4.0,243.0
5810-14-5860295,235.0,6,39.17,134.0,369.0
5895-01-6548907,-222.0,5,-44.4,306.0,84.0
5998-14-5649230,-207.0,9,-23.0,305.0,98.0
7010-14-5636071,206.0,4,51.5,25.0,231.0
5895-01-6590453,-200.0,5,-40.0,225.0,25.0
5998-01-5292775,197.0,1,197.0,15.0,212.0
5998-14-4252190,192.0,1,192.0,8.0,200.0
7025-15-0162514,-190.0,3,-63.33,216.0,26.0
6130-14-5147163,189.0,2,94.5,22.0,211.0
6130-14-5648974,-184.0,6,-30.67,237.0,53.0
9020-DI-1012014,-180.0,1,-180.0,182.0,2.0
5998-14-4535515,-174.0,1,-174.0,183.0,9.0
5810-14-5860296,-169.0,8,-21.12,348.0,179.0
7025-01-7006887,-168.0,8,-21.0,281.0,113.0
5998-14-5115509,160.0,4,40.0,133.0,293.0
6130-14-5977740,159.0,2,79.5,4.0,163.0
5820-14-5353198,156.0,1,156.0,4.0,160.0
7010-14-6062927,-150.0,1,-150.0,153.0,3.0
5810-14-5949212,148.0,3,49.33,43.0,191.0
6030-01-5849988,-148.0,5,-29.6,228.0,80.0
5820-99-5013078,-147.0,2,-73.5,294.0,147.0
5895-01-5413058,147.0,1,147.0,1.0,148.0
5805-01-6442680,144.0,5,28.8,73.0,217.0
5998-14-5648968,-137.0,9,-15.22,182.0,45.0
5975-01-6429653,137.0,7,19.57,212.0,349.0
5930-01-6107547,136.0,1,136.0,9.0,145.0
5820-99-9251541,-136.0,4,-34.0,141.0,5.0
5820-14-6011983,130.0,2,65.0,52.0,182.0
5895-14-5892200,-127.0,2,-63.5,259.0,132.0
5961-01-6107733,126.0,2,63.0,3.0,129.0
5895-01-6548830,-125.0,4,-31.25,143.0,18.0
5965-14-5596464,124.0,3,41.33,393.0,517.0
5820-14-5568480,123.0,1,123.0,5.0,128.0
5998-14-5223319,122.0,1,122.0,2.0,124.0
5999-14-5416056,120.0,1,120.0,1.0,121.0
7025-14-5812058,-120.0,6,-20.0,176.0,56.0
7025-15-1577947,116.0,1,116.0,9.0,125.0
5805-14-5395175,-112.0,3,-37.33,200.0,88.0
7025-01-6519677,-110.0,6,-18.33,120.0,10.0
5805-14-5649505,-109.0,4,-27.25,209.0,100.0
7025-15-0137638,-108.0,2,-54.0,127.0,19.0
5895-14-5501846,107.0,2,53.5,2.0,109.0
5998-14-5164413,104.0,1,104.0,2.0,106.0
5820-99-8564345,-104.0,1,-104.0,128.0,24.0
7025-14-5953534,-101.0,1,-101.0,102.0,1.0
5998-14-4536854,-100.0,1,-100.0,102.0,2.0
5998-14-5649253,-100.0,8,-12.5,179.0,79.0
5805-14-5407612,100.0,1,100.0,4.0,104.0
7025-01-6295560,-99.0,3,-33.0,113.0,14.0
5998-14-4636517,-96.0,1,-96.0,99.0,3.0
5895-14-5877858,95.0,1,95.0,5.0,100.0
5998-14-4491646,94.0,2,47.0,15.0,109.0
6130-14-5875950,-93.0,3,-31.0,121.0,28.0
5998-14-5812746,-90.0,4,-22.5,100.0,10.0
9010-DI-0012022,89.0,5,17.8,73.0,162.0
5998-20-0085537,-89.0,5,-17.8,100.0,11.0
5895-14-5781725,-88.0,1,-88.0,96.0,8.0
5998-14-4491644,87.0,1,87.0,4.0,91.0
7025-01-6336396,-85.0,6,-14.17,110.0,25.0
5820-14-5697607,83.0,4,20.75,100.0,183.0
5998-14-4491642,83.0,2,41.5,18.0,101.0
7025-14-5947628,82.0,2,41.0,36.0,118.0
5895-14-5603031,82.0,2,41.0,22.0,104.0
5998-14-5729634,-81.0,8,-10.12,151.0,70.0
5998-01-5587804,81.0,1,81.0,4.0,85.0
7025-14-5884199,-80.0,2,-40.0,131.0,51.0
7035-14-5885006,-80.0,1,-80.0,93.0,13.0
5895-01-4758630,79.0,3,26.33,27.0,106.0
5895-14-5713842,-79.0,2,-39.5,91.0,12.0
5820-14-5875877,79.0,2,39.5,40.0,119.0
5895-20-0078044,-76.0,4,-19.0,84.0,8.0
7025-01-5008812,76.0,1,76.0,1.0,77.0
5998-14-4252193,75.0,2,37.5,9.0,84.0
5810-14-5860301,74.0,1,74.0,8.0,82.0
5998-14-4491643,74.0,2,37.0,6.0,80.0
7025-14-5534827,74.0,1,74.0,16.0,90.0
5895-14-5606807,-73.0,2,-36.5,79.0,6.0
5998-14-5649402,73.0,5,14.6,35.0,108.0
7490-01-6289942,-73.0,5,-14.6,90.0,17.0
5895-14-5713812,-70.0,2,-35.0,76.0,6.0
