magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
CNSO,7025-14-6091934,0.0,1352.0,1352.0
CNSO,7025-14-6111661,0.0,1325.0,1325.0
CNSO,5805-14-4803017,0.0,1226.0,1226.0
CNSO,6030-01-5849988,0.0,1223.0,1223.0
CNSO,9020-DI-1012016,100.0,895.0,795.0
CNSO,7021-01-7170469,0.0,771.0,771.0
CNSO,5995-14-5854302,0.0,739.0,739.0
CNSO,5895-01-6589391,51.0,683.0,632.0
CNSO,9080-DI-0582022,0.0,596.0,596.0
CNSO,5805-14-6111753,0.0,595.0,595.0
CNSO,5810-14-6035259,0.0,593.0,593.0
CNSO,5998-14-4535515,0.0,554.0,554.0
CNSO,9080-DI-0012019,0.0,501.0,501.0
CNSO,5805-14-5407613,22.0,505.0,483.0
CNSO,7490-33-2195754,0.0,474.0,474.0
CNSO,5998-14-5594755,8.0,469.0,461.0
CNSO,5998-14-5216512,1.0,419.0,418.0
CNSO,5965-14-5596464,63.0,479.0,416.0
CNSO,5998-01-6108944,61.0,461.0,400.0
CNSO,7010-14-6035962,5.0,375.0,370.0
CNSO,5895-14-5739867,0.0,358.0,358.0
CNSO,5998-14-4746028,1.0,356.0,355.0
CNSO,5998-14-5649218,20.0,366.0,346.0
CNSO,5998-01-5905251,1.0,339.0,338.0
CNSO,5810-14-5839386,4.0,331.0,327.0
CNSO,5998-14-4392521,0.0,323.0,323.0
CNSO,5998-14-5089220,0.0,317.0,317.0
CNSO,5895-14-4839707,2.0,313.0,311.0
CNSO,5998-14-4891305,0.0,311.0,311.0
CNSO,9080-DI-0032019,0.0,310.0,310.0
CNSO,5810-14-5860295,50.0,348.0,298.0
CNSO,6130-14-4535527,0.0,298.0,298.0
CNSO,5805-14-5216514,0.0,297.0,297.0
CNSO,9010-DI-1032013,0.0,288.0,288.0
CNSO,9080-DI-0022019,0.0,283.0,283.0
CNSO,7025-14-6091796,0.0,283.0,283.0
CNSO,5998-14-5115509,1.0,282.0,281.0
CNSO,6130-14-5977753,2.0,282.0,280.0
CNSO,5998-14-5115514,2.0,277.0,275.0
CNSO,5985-14-5618739,0.0,269.0,269.0
CNSO,7010-14-5971471,0.0,269.0,269.0
CNSO,5998-14-4634094,1.0,255.0,254.0
CNSO,5975-01-6429653,56.0,305.0,249.0
CNSO,7010-14-6099778,0.0,248.0,248.0
CNSO,6130-14-6091834,0.0,247.0,247.0
CNSO,7025-01-5455184,18.0,261.0,243.0
CNSO,7050-20-0042340,2.0,244.0,242.0
CNSO,5895-14-5223317,4.0,243.0,239.0
CNSO,5895-01-6312265,0.0,238.0,238.0
CNSO,6130-14-4392517,0.0,234.0,234.0
CNSO,7025-14-5818317,0.0,229.0,229.0
CNSO,5998-14-5709364,3.0,219.0,216.0
CNSO,5998-14-4603767,0.0,215.0,215.0
CNSO,5805-14-5216513,0.0,214.0,214.0
CNSO,7010-14-5636071,8.0,220.0,212.0
CNSO,7025-14-6035972,0.0,211.0,211.0
CNSO,5805-14-5395176,6.0,216.0,210.0
CNSO,6130-14-5147163,3.0,208.0,205.0
CNSO,6130-14-3191572,0.0,203.0,203.0
CNSO,5998-14-5149581,1.0,203.0,202.0
CNSO,5895-01-5555276,18.0,215.0,197.0
CNSO,5998-01-5292775,15.0,212.0,197.0
CNSO,5895-14-0417469,0.0,196.0,196.0
CNSO,5998-14-4252190,8.0,200.0,192.0
CNSO,5895-01-5660851,0.0,189.0,189.0
CNSO,8145-14-5890170,0.0,186.0,186.0
CNSO,6130-14-6091604,0.0,182.0,182.0
CNSO,5895-14-5781725,0.0,170.0,170.0
CNSO,5998-14-5115539,0.0,169.0,169.0
CNSO,5998-14-4535521,0.0,167.0,167.0
CNSO,9010-DI-1092016,0.0,165.0,165.0
CNSO,5998-14-4536854,0.0,161.0,161.0
CNSO,7010-14-5562807,0.0,160.0,160.0
CNSO,7025-14-5894540,0.0,159.0,159.0
CNSO,5820-14-5353198,4.0,160.0,156.0
CNSO,7010-14-6062927,0.0,156.0,156.0
CNSO,5810-14-5949212,23.0,177.0,154.0
CNSO,5998-14-4636517,0.0,151.0,151.0
CNSO,6130-14-5977740,2.0,150.0,148.0
CNSO,5895-01-5413058,1.0,148.0,147.0
CNSO,9020-DI-1082016,0.0,145.0,145.0
CNSO,5895-14-5507458,0.0,144.0,144.0
CNSO,6130-01-6854368,0.0,142.0,142.0
CNSO,7025-14-5953534,0.0,142.0,142.0
CNSO,7021-14-6062929,0.0,142.0,142.0
CNSO,5930-01-6107547,9.0,145.0,136.0
CNSO,7010-14-5770102,0.0,135.0,135.0
CNSO,5895-14-5462694,0.0,133.0,133.0
CNSO,7025-01-4937528,0.0,133.0,133.0
CNSO,7010-14-5982738,0.0,132.0,132.0
CNSO,5961-01-6107733,1.0,128.0,127.0
CNSO,7050-14-5822576,104.0,227.0,123.0
CNSO,5820-14-5568480,5.0,128.0,123.0
CNSO,5998-14-5223319,2.0,124.0,122.0
CNSO,5998-14-5164411,0.0,121.0,121.0
CNSO,5998-14-4569076,0.0,121.0,121.0
CNSO,5999-14-5416056,1.0,121.0,120.0
CNSO,5998-01-6013222,0.0,118.0,118.0
CNSO,5998-14-5833066,0.0,116.0,116.0
CNSO,7021-01-6973011,0.0,116.0,116.0
CNSO,7025-15-1577947,9.0,125.0,116.0
CNSO,6130-14-6091814,0.0,113.0,113.0
CNSO,5998-14-5089219,0.0,112.0,112.0
BST,5820-14-6011983,44.0,155.0,111.0
CNSO,5975-14-4392523,0.0,110.0,110.0
CNSO,5805-14-4813168,0.0,108.0,108.0
CNSO,5998-14-5354368,0.0,108.0,108.0
CNSO,7025-14-5947628,6.0,113.0,107.0
CNSO,5998-14-5164413,2.0,106.0,104.0
CNSO,5895-14-5469292,0.0,104.0,104.0
CNSO,5895-14-5501846,1.0,105.0,104.0
CNSO,5895-14-5603031,2.0,103.0,101.0
CNSO,5895-15-0039578,0.0,101.0,101.0
CNSO,6035-14-5884284,0.0,100.0,100.0
CNSO,5998-14-4491646,6.0,106.0,100.0
CNSO,5805-14-5407612,4.0,104.0,100.0
CNSO,5805-01-6442680,32.0,128.0,96.0
CNSO,7050-14-5464042,0.0,96.0,96.0
CNSO,5998-14-5649402,2.0,97.0,95.0
CNSO,5820-14-5900886,0.0,95.0,95.0
CNSO,5895-14-5877858,5.0,100.0,95.0
CNSO,5805-14-5649505,1.0,95.0,94.0
CNSO,5895-14-5514468,0.0,94.0,94.0
CNSO,5895-01-5234573,0.0,93.0,93.0
CNSO,5895-01-5059537,0.0,93.0,93.0
CNSO,5998-14-4491642,8.0,100.0,92.0
CNSO,5998-01-5832455,0.0,91.0,91.0
CHG,5895-14-5951970,10.0,100.0,90.0
CNSO,5998-14-5649251,16.0,105.0,89.0
CNSO,7025-15-0010786,12.0,100.0,88.0
CNSO,5998-14-4491644,4.0,91.0,87.0
CNSO,5998-14-6099408,0.0,86.0,86.0
CNSO,5895-14-5501847,0.0,86.0,86.0
CNSO,5998-14-5832206,0.0,85.0,85.0
CNSO,5895-14-5377196,0.0,84.0,84.0
CNSO,5930-01-5320386,0.0,83.0,83.0
CNSO,5895-14-5494660,0.0,83.0,83.0
CNSO,7025-01-6145572,6.0,89.0,83.0
CNSO,6130-01-6319570,0.0,83.0,83.0
CNSO,5998-14-4978786,0.0,82.0,82.0
CNSO,5805-14-5395175,2.0,84.0,82.0
CNSO,5998-01-5587804,4.0,85.0,81.0
CNSO,7025-01-7068901,14.0,95.0,81.0
CNSO,5998-14-4689476,0.0,81.0,81.0
CNSO,5998-14-5115515,0.0,80.0,80.0
CNSO,5998-14-4252193,4.0,83.0,79.0
CNSO,5805-14-5895428,0.0,79.0,79.0
CNSO,5998-14-4392522,0.0,78.0,78.0
CNSO,7010-01-6865686,0.0,77.0,77.0
CNSO,7035-14-5971442,0.0,77.0,77.0
CNSO,5895-01-4758630,11.0,88.0,77.0
CNSO,7025-01-5008812,1.0,77.0,76.0
CNSO,5998-14-4491643,2.0,78.0,76.0
CNSO,3040-14-4642426,0.0,75.0,75.0
CNSO,5820-14-5697607,3.0,78.0,75.0
CNSO,5810-14-5860301,8.0,82.0,74.0
CNSO,5998-14-4636520,0.0,74.0,74.0
CNSO,7025-14-5534827,16.0,90.0,74.0
BST,5820-14-5875877,31.0,104.0,73.0
CNSO,5962-14-5479568,0.0,73.0,73.0
CNSO,5998-14-5115538,0.0,72.0,72.0
CNSO,5998-14-4535523,0.0,72.0,72.0
CNSO,5998-14-5217075,0.0,72.0,72.0
CNSO,7025-01-6840925,0.0,71.0,71.0
CNSO,5998-14-4634095,0.0,71.0,71.0
CNSO,5895-01-5165031,0.0,71.0,71.0
CNSO,5998-14-4689422,0.0,71.0,71.0
CNSO,6130-14-5983672,0.0,71.0,71.0
CNSO,7025-01-6295560,0.0,70.0,70.0
CNSO,5895-01-6038918,2.0,71.0,69.0
CNSO,5998-14-4636519,0.0,69.0,69.0
CNSO,5895-14-4484985,0.0,69.0,69.0
CNSO,7025-14-5812059,0.0,69.0,69.0
CNSO,7035-14-5860693,1.0,70.0,69.0
CNSO,7035-01-4970882,0.0,69.0,69.0
CNSO,5998-14-4491651,4.0,72.0,68.0
CNSO,5895-14-5501850,0.0,67.0,67.0
CNSO,5998-14-6021506,4.0,71.0,67.0
CNSO,5895-14-5454066,0.0,66.0,66.0
CNSO,7025-14-5534842,6.0,71.0,65.0
CNSO,6030-01-4858177,10.0,75.0,65.0
CNSO,5930-01-5320385,0.0,65.0,65.0
CNSO,6130-14-4252186,0.0,65.0,65.0
CNSO,5998-14-5192085,0.0,65.0,65.0
CNSO,5810-14-5860296,64.0,128.0,64.0
CNSO,5895-14-5223318,0.0,63.0,63.0
CNSO,5915-14-4852179,6.0,69.0,63.0
CNSO,5805-14-4147593,0.0,62.0,62.0
CNSO,7025-01-6013212,7.0,69.0,62.0
CNSO,5805-14-5395177,2.0,64.0,62.0
CNSO,7025-01-6844735,0.0,62.0,62.0
CNSO,5998-14-5223322,2.0,63.0,61.0
CNSO,9080-DI-0042019,0.0,61.0,61.0
CNSO,5998-14-4491658,3.0,64.0,61.0
CNSO,5975-14-6014460,1.0,62.0,61.0
CNSO,DIRI-14-0002542,0.0,61.0,61.0
ANTACL,7025-01-5388114,5.0,66.0,61.0
CNSO,5998-14-4536845,0.0,61.0,61.0
CNSO,5998-14-5649230,15.0,75.0,60.0
CNSO,5998-14-4491645,4.0,64.0,60.0
CNSO,7025-01-6525478,2.0,62.0,60.0
CNSO,5998-14-4535526,0.0,60.0,60.0
CNSO,5975-14-4338092,0.0,59.0,59.0
CNSO,6130-14-4491648,2.0,61.0,59.0
CNSO,5963-01-5295714,0.0,59.0,59.0
BST,7035-15-0231142,0.0,59.0,59.0
CNSO,7035-12-4012369,12.0,70.0,58.0
CNSO,5895-14-5453534,0.0,58.0,58.0
CNSO,6130-01-6439237,4.0,62.0,58.0
CNSO,5975-01-5912433,0.0,58.0,58.0
CNSO,5998-14-5524866,0.0,58.0,58.0
CNSO,5895-01-6108993,0.0,58.0,58.0
CNSO,6030-14-5451517,0.0,57.0,57.0
CNSO,5998-14-4491655,4.0,61.0,57.0
CNSO,7025-14-5950147,21.0,78.0,57.0
CNSO,7035-14-5914936,3.0,59.0,56.0
CNSO,5998-14-4535518,0.0,56.0,56.0
CNSO,6130-14-4978785,0.0,56.0,56.0
CNSO,5895-14-5402712,0.0,55.0,55.0
CNSO,7025-01-5114279,0.0,54.0,54.0
CNSO,5895-14-5591085,18.0,72.0,54.0
CNSO,5998-14-4760551,0.0,54.0,54.0
BCE,9010-DI-0012022,26.0,80.0,54.0
CNSO,7025-01-6720552,1.0,55.0,54.0
CNSO,5998-14-5416049,0.0,53.0,53.0
CNSO,7025-01-5746332,0.0,53.0,53.0
CNSO,5998-14-5649253,6.0,59.0,53.0
CNSO,5820-14-5704786,0.0,52.0,52.0
CNSO,7035-14-5499899,2.0,54.0,52.0
CNSO,7010-14-5870866,3.0,55.0,52.0
CNSO,5965-14-4177295,4.0,55.0,51.0
CNSO,7025-17-1280853,0.0,51.0,51.0
CNSO,5998-14-4392518,1.0,52.0,51.0
CNSO,7025-01-6909236,0.0,51.0,51.0
CNSO,5895-01-6073450,0.0,50.0,50.0
CNSO,5820-14-5805196,0.0,50.0,50.0
CNSO,5998-14-4719780,0.0,50.0,50.0
CNSO,5895-14-5869566,0.0,50.0,50.0
CNSO,7025-14-5536987,0.0,49.0,49.0
CNSO,5915-14-4852181,10.0,59.0,49.0
CNSO,6130-14-4852167,10.0,59.0,49.0
CNSO,5998-14-5729634,3.0,52.0,49.0
CNSO,5998-14-5776623,0.0,49.0,49.0
CNSO,5998-14-4719781,0.0,49.0,49.0
CNSO,5985-01-2039484,0.0,49.0,49.0
CNSO,5998-14-4109581,0.0,48.0,48.0
CNSO,5895-14-5854238,0.0,48.0,48.0
CNSO,4130-14-4536849,0.0,48.0,48.0
CNSO,6130-14-5115170,0.0,48.0,48.0
PAU,9010-DI-0012022,6.0,53.0,47.0
CNSO,5895-14-4626374,0.0,47.0,47.0
CNSO,5998-14-5149583,0.0,47.0,47.0
CNSO,6130-01-6594359,0.0,47.0,47.0
CNSO,5998-14-4852163,9.0,56.0,47.0
CNSO,7021-14-5732755,0.0,47.0,47.0
CNSO,6130-14-5641779,2.0,48.0,46.0
CNSO,7025-01-6430878,0.0,46.0,46.0
CNSO,5895-14-5736209,0.0,46.0,46.0
