magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
ANTACL,5895-01-6998026,1.0,4.0,3.0
ANTACL,5895-01-7022542,18.0,19.0,1.0
ANTACL,5930-01-6692243,10.0,36.0,26.0
ANTACL,7025-01-5388114,5.0,66.0,61.0
ANTACL,7025-01-6844735,1.0,11.0,10.0
ANTACL,7025-01-6963056,10.0,26.0,16.0
ANTACL,7025-01-7006887,22.0,28.0,6.0
ANTACL,7025-01-7016891,10.0,13.0,3.0
BCE,5895-01-7022542,7.0,11.0,4.0
BCE,5975-14-5882845,14.0,46.0,32.0
BCE,9010-DI-0012022,26.0,80.0,54.0
BLD,5810-14-5860295,6.0,12.0,6.0
BLD,5810-14-6005236,3.0,6.0,3.0
BLD,5895-01-6659304,6.0,12.0,6.0
BLD,6030-01-5849988,8.0,20.0,12.0
BLD,7025-01-5898446,6.0,13.0,7.0
BLD,7025-14-5947383,4.0,16.0,12.0
BLD,9010-DI-0012022,13.0,18.0,5.0
BLD,9010-DI-1012016,22.0,23.0,1.0
BST,5805-01-6442680,35.0,78.0,43.0
BST,5810-14-6104556,3.0,9.0,6.0
BST,5820-01-7078911,1.0,4.0,3.0
BST,5820-14-5649881,1.0,6.0,5.0
BST,5820-14-5855447,1.0,4.0,3.0
BST,5820-14-5875877,31.0,104.0,73.0
BST,5820-14-5960623,7.0,16.0,9.0
BST,5820-14-6011983,44.0,155.0,111.0
BST,5820-14-6075773,1.0,4.0,3.0
BST,5820-99-5083499,1.0,4.0,3.0
BST,5820-99-8703821,6.0,7.0,1.0
BST,5830-14-5548763,6.0,11.0,5.0
BST,5840-01-5854521,2.0,3.0,1.0
BST,5895-01-6548913,4.0,16.0,12.0
BST,5895-14-5695085,1.0,5.0,4.0
BST,5895-14-5730049,2.0,5.0,3.0
BST,5895-14-5874648,1.0,11.0,10.0
BST,5895-14-5888112,1.0,7.0,6.0
BST,5895-14-5892200,42.0,83.0,41.0
BST,5895-14-5892204,33.0,62.0,29.0
BST,5895-14-5927592,1.0,19.0,18.0
BST,5895-14-6004618,3.0,7.0,4.0
BST,5895-14-6075442,4.0,8.0,4.0
BST,5895-14-6099254,2.0,5.0,3.0
BST,5895-22-6318527,4.0,6.0,2.0
BST,5895-99-1535529,3.0,4.0,1.0
BST,5965-99-3632588,25.0,27.0,2.0
BST,5985-12-3626193,1.0,2.0,1.0
BST,5985-14-4659246,18.0,26.0,8.0
BST,5985-14-5511392,5.0,40.0,35.0
BST,5985-14-5618739,5.0,10.0,5.0
BST,5985-15-0082430,1.0,5.0,4.0
BST,5998-01-5757590,5.0,6.0,1.0
BST,5998-01-5905251,2.0,12.0,10.0
BST,5998-14-6035944,4.0,16.0,12.0
BST,6130-01-6858032,3.0,4.0,1.0
BST,6130-12-4051298,3.0,10.0,7.0
BST,6605-14-5897103,1.0,2.0,1.0
BST,7010-14-5961808,2.0,9.0,7.0
BST,7010-14-6035962,7.0,20.0,13.0
BST,7021-14-5910771,5.0,14.0,9.0
BST,7025-01-6036810,4.0,16.0,12.0
BST,7025-01-6162699,4.0,5.0,1.0
BST,7025-01-6241110,2.0,4.0,2.0
BST,7025-01-6264014,2.0,5.0,3.0
BST,7025-01-6301434,1.0,4.0,3.0
BST,7025-01-6702129,4.0,6.0,2.0
BST,7025-01-6844735,22.0,31.0,9.0
BST,7025-01-6997334,13.0,40.0,27.0
BST,7025-01-7035251,2.0,5.0,3.0
BST,7025-01-7232642,2.0,5.0,3.0
BST,7025-14-5452181,6.0,13.0,7.0
BST,7025-14-5885005,6.0,11.0,5.0
BST,7025-14-5890944,1.0,2.0,1.0
BST,7025-14-5959022,6.0,15.0,9.0
BST,7025-14-5961091,9.0,46.0,37.0
BST,7025-14-6008524,19.0,20.0,1.0
BST,7025-14-6031213,1.0,16.0,15.0
BST,7025-14-6066924,7.0,24.0,17.0
